cid,zcmb,MU_SH0ES,u_mean,g_mean,r_mean,i_mean,z_mean,u_median,g_median,r_median,i_median,z_median,z_diff_mean,z_diff_median
12843,0.16595,39.1817,20.32916705882353,19.439823823529412,18.67602544117647,18.195913088235297,18.047805588235295,19.707189999999997,18.810945,17.885734999999997,17.423345,17.261355000000002,-9.117647058698095e-07,-7.9999999998135e-07
12853,0.16817,39.2757,19.886675471698112,19.059275094339622,18.323309811320755,17.827835094339623,17.603837924528303,19.73033,18.57606,17.79893,17.43564,17.34429,3.421509433963714e-05,2.59000000000231e-05
12856,0.17029,39.4742,20.14012,19.271223684210526,18.462897236842107,17.926991447368422,17.719903157894738,19.704585,18.68606,17.907935000000002,17.51038,17.43807,1.3355263157897475e-05,3.540000000000485e-05
12860,0.12042,38.7926,19.5845725,18.62680125,17.920252083333335,17.409319166666666,17.193917083333332,19.18312,18.07663,17.13905,16.587455,16.367325,-1.558749999999946e-05,-2.6100000000001116e-05
12881,0.23671,40.119,20.158750933333334,19.579930133333335,18.903437466666666,18.461008000000003,18.270576133333336,19.80929,19.21961,18.65658,18.25931,18.00317,1.0533333332966695e-07,-3.69999999999537e-06
12883,0.30519,40.5924,20.443989230769233,19.943872,19.157938461538464,19.018726615384615,18.52926353846154,20.10039,19.75609,18.89227,18.64636,18.27495,-9.029230769247005e-06,-3.11000000000061e-05
12898,0.08255,37.6774,19.449648500000002,18.415058,17.72414175,17.271600499999998,16.97766475,18.597955,17.654285,16.904235,16.444490000000002,16.247120000000002,-2.2533749999997426e-05,-8.7549999999992e-06
12927,0.18892,39.4384,20.414505555555554,19.62652492063492,18.868422698412697,18.365849365079367,18.195505873015875,20.01542,19.22636,18.38856,17.95938,17.87431,-2.8311111111116317e-05,-7.54000000000032e-05
12928,0.13868,38.9999,19.670209333333332,18.766536,17.968323555555557,17.488990666666666,17.301534,19.32015,18.40869,17.52417,17.05561,16.84191,-1.0888888888842291e-07,4.28000000000095e-05
12950,0.08141,37.7215,19.422752142857142,18.139640476190475,17.42487738095238,16.91127,16.653814761904762,18.81489,17.302505,16.73566,16.331595,16.068595000000002,2.7538333333336647e-05,1.1915000000001225e-05
12971,0.23381,40.1389,20.39055842105263,19.721469605263156,19.03400210526316,18.583704473684207,18.41872065789474,19.909645,19.445140000000002,18.664265,18.27573,18.09274,2.1357894736850344e-05,4.91000000000102e-05
12972,0.25935,40.5238,20.352848904109592,19.796147260273973,19.17682410958904,18.826649178082192,18.530085205479452,19.79229,19.48806,18.61991,18.3959,18.08937,4.039452054791816e-05,3.94999999999701e-05
12977,0.24643,40.2829,20.26145846153846,19.58214346153846,18.940545384615387,18.604500769230768,18.39026423076923,19.74076,19.305125,18.83209,18.4675,18.19904,-9.47307692308707e-06,-9.45000000000805e-06
12983,0.26395,40.6342,20.405723484848483,19.883521515151514,19.16589696969697,18.81297803030303,18.409365757575756,19.757265,19.36905,18.834255,18.51733,18.137014999999998,-1.0113636363655569e-05,-3.940000000002275e-05
13025,0.22287,40.3257,20.424250410958905,19.76167219178082,18.97701,18.487991506849315,18.334066301369862,19.88404,19.41305,18.7075,18.33834,18.24447,1.4149315068482178e-05,5.48999999999966e-05
13038,0.10485,38.4295,19.853889642857144,18.895777857142857,18.13894892857143,17.67676857142857,17.373476071428573,19.432830000000003,17.913945,17.316815,16.867350000000002,16.603825,8.081071428571628e-05,0.0001284999999999965
13044,0.12455,38.7616,19.483825614035087,18.47301052631579,17.662089473684212,17.368972105263158,17.119118771929823,19.11042,17.91553,17.11341,16.71384,16.51369,-6.93315789473623e-05,-8.76999999999961e-05
13045,0.17916,39.5355,20.090709605263157,19.446703684210526,18.750544868421052,18.26097605263158,18.138880394736844,19.477525,18.911450000000002,18.26459,17.78709,17.645539999999997,8.023684210513803e-06,4.24499999999855e-05
13070,0.19719,39.8018,21.34281564102564,20.437608333333333,19.663976666666667,19.27909487179487,18.971485897435898,20.798614999999998,19.876855,18.903365,18.533835,18.37688,-3.115384615438658e-07,-1.3499999999971402e-06
13072,0.22917,40.2229,20.496866447368422,19.639926315789474,18.932326578947368,18.49553013157895,18.3166925,19.9574,19.32602,18.57439,18.11917,18.005074999999998,-1.786315789474792e-05,-1.69500000000155e-05
13099,0.26451,40.6719,20.184667704918034,19.611807704918032,18.94433360655738,18.659034262295084,18.25631475409836,19.73311,19.15856,18.50662,18.2208,17.91645,1.0242622950800264e-05,3.41999999999842e-05
13135,0.10338,38.3338,20.281705806451615,18.96188451612903,18.240903870967742,17.813404838709676,17.58091612903226,18.99488,17.90212,17.14386,16.68837,16.44687,-1.7709677419355995e-05,4.04999999999988e-05
